PERIODO,UBIGEO,REG_NAT,DEPARTAMENTO,PROVINCIA,DISTRITO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,MTN_QRESIDUOS_MUN,GRS_MTN_AMERICAYCARIBE,GRS_MTN_AMERICADEL NORTE,GRS_MTN_EUROPAYASIACENTRAL,G_ROV
2015,80309,SIERRA,CUSCO,ANTA,ZURITE,3643,1455,2188,0.43,227.34,97.43,324.8,7,231,289,392,
2016,80309,SIERRA,CUSCO,ANTA,ZURITE,3669,1466,2203,0.43,229.02,98.15,327.2,7,231,289,392,
2017,80309,SIERRA,CUSCO,ANTA,ZURITE,3694,1476,2218,0.43,230.58,98.82,329.4,7.1,231,289,392,
2018,80309,SIERRA,CUSCO,ANTA,ZURITE,3754,2137,1617,0.42,327.53,140.37,467.9,7.5,231,289,392,
2019,80309,SIERRA,CUSCO,ANTA,ZURITE,3760,2096,1664,0.42,321.59,137.82,459.4,7.8,231,289,392,
2020,80309,SIERRA,CUSCO,ANTA,ZURITE,3758,2060,1698,0.42,316.1,135.47,451.6,7.9,231,289,392,
2021,80309,SIERRA,CUSCO,ANTA,ZURITE,3760,2034,1726,0.44,326.66,140,466.7,8.2,231,289,392,
2015,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,1818,764,1054,0.47,129.98,55.71,185.7,7,231,289,392,
2016,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,1850,778,1072,0.47,132.33,56.71,189,7,231,289,392,
2017,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,1882,792,1090,0.47,134.71,57.73,192.4,7.1,231,289,392,
2018,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,1443,973,470,0.46,163.33,70,233.3,7.5,231,289,392,
2019,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,1350,883,467,0.5,161.03,69.01,230.1,7.8,231,289,392,
2020,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,1339,868,471,0.5,157.84,67.65,225.5,7.9,231,289,392,
2021,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,1323,851,472,0.49,151.67,65,216.7,8.2,231,289,392,
2014,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,12141,11211,930,0.29,1186.72,508.6,1695.3,6.9,231,289,392,
2015,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,12313,11370,943,0.34,1411.04,604.73,2015.8,7,231,289,392,
2016,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,12484,11529,955,0.34,1430.75,613.18,2043.9,7,231,289,392,
2017,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,12645,11677,968,0.34,1449.12,621.05,2070.2,7.1,231,289,392,
2018,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,12956,12439,517,0.34,1543.72,661.59,2205.3,7.5,231,289,392,
2019,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,13476,12931,545,0.2,943.96,404.56,1348.5,7.8,231,289,392,
2020,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,13807,13237,570,0.2,966.3,414.13,1380.4,7.9,231,289,392,
2021,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,14099,13507,592,0.51,2516.5,1078.5,3595,8.2,231,289,392,
2014,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,19214,2311,16903,0.45,378.98,162.42,541.4,6.9,231,289,392,
2015,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,18948,2279,16669,0.48,399.28,171.12,570.4,7,231,289,392,
2016,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,18961,2281,16680,0.48,399.63,171.27,570.9,7,231,289,392,
2017,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,18976,2283,16693,0.48,399.98,171.42,571.4,7.1,231,289,392,
2018,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,17556,2181,15375,0.48,382.12,163.77,545.9,7.5,231,289,392,
2019,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,17644,2089,15555,0.48,365.99,156.85,522.9,7.8,231,289,392,
2020,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,17402,1987,15415,0.48,348.12,149.2,497.3,7.9,231,289,392,
2021,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,17392,1931,15461,0.44,310.12,132.91,443,8.2,231,289,392,
2014,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,21947,21798,149,0.6,4773.85,2045.94,6819.8,6.9,231,289,392,
2015,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,22257,22106,151,0.6,4841.28,2074.84,6916.1,7,231,289,392,
2016,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,22585,22433,152,0.54,4421.54,1894.95,6316.5,7,231,289,392,
2017,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,22895,22740,155,0.54,4482.05,1920.88,6402.9,7.1,231,289,392,
2018,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,23839,23457,382,0.56,4794.54,2054.8,6849.3,7.5,231,289,392,
2019,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,24756,24366,390,0.64,5660.85,2426.08,8086.9,7.8,231,289,392,
2020,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,25390,24992,398,0.64,5806.29,2488.41,8294.7,7.9,231,289,392,
2021,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,26050,25637,413,0.64,5956.14,2552.63,8508.8,8.2,231,289,392,
2014,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,4834,742,4092,0.61,164.86,70.65,235.5,6.9,231,289,392,
2015,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,4776,733,4043,0.58,154.64,66.27,220.9,7,231,289,392,
2016,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,4770,733,4037,0.58,154.64,66.27,220.9,7,231,289,392,
2017,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,4764,732,4032,0.58,154.43,66.18,220.6,7.1,231,289,392,
2018,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,5745,2284,3461,0.55,456,195.43,651.4,7.5,231,289,392,
2019,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,5789,2273,3516,0.55,453.76,194.47,648.2,7.8,231,289,392,
2020,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,5857,2273,3584,0.55,453.73,194.46,648.2,7.9,231,289,392,
2021,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,5919,2270,3649,0.51,426,182.57,608.6,8.2,231,289,392,
2015,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,6154,749,5405,0.58,158.12,67.76,225.9,7,231,289,392,
2016,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,6593,803,5790,0.58,169.41,72.6,242,7,231,289,392,
2017,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,6578,802,5776,0.58,169.2,72.51,241.7,7.1,231,289,392,
2018,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,6657,1386,5271,0.55,276.8,118.63,395.4,7.5,231,289,392,
2019,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,6704,1363,5341,0.54,269.32,115.42,384.7,7.8,231,289,392,
2020,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,6749,1346,5403,0.53,262.55,112.52,375.1,7.9,231,289,392,
2021,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,6772,1325,5447,0.51,248.66,106.57,355.2,8.2,231,289,392,
2014,250204,SELVA,UCAYALI,ATALAYA,YURUA,2452,358,2094,0.61,79.51,34.07,113.6,6.9,231,289,392,
2015,250204,SELVA,UCAYALI,ATALAYA,YURUA,2587,378,2209,0.58,79.64,34.13,113.8,7,231,289,392,
2016,250204,SELVA,UCAYALI,ATALAYA,YURUA,2636,385,2251,0.58,81.22,34.81,116,7,231,289,392,
2017,250204,SELVA,UCAYALI,ATALAYA,YURUA,2683,392,2291,0.58,82.7,35.44,118.1,7.1,231,289,392,
2018,250204,SELVA,UCAYALI,ATALAYA,YURUA,2285,624,1661,0.55,124.66,53.42,178.1,7.5,231,289,392,
2019,250204,SELVA,UCAYALI,ATALAYA,YURUA,2359,641,1718,0.55,127.96,54.84,182.8,7.8,231,289,392,
2020,250204,SELVA,UCAYALI,ATALAYA,YURUA,2435,657,1778,0.55,131.15,56.21,187.4,7.9,231,289,392,
2021,250204,SELVA,UCAYALI,ATALAYA,YURUA,2501,671,1830,0.67,164.09,70.33,234.4,8.2,231,289,392,
2014,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,71676,55543,16133,0.91,18441.01,7903.29,26344.3,6.9,231,289,392,
2015,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,72170,55926,16244,0.6,12195.41,5226.6,17422,7,231,289,392,
2016,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,72803,56417,16386,0.6,12355.32,5295.14,17650.5,7,231,289,392,
2017,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,73410,56887,16523,0.6,12458.25,5339.25,17797.5,7.1,231,289,392,
2018,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,96188,79780,16408,0.62,17908.69,7675.15,25583.8,7.5,231,289,392,
2019,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,100176,82505,17671,0.77,23188.03,9937.73,33125.8,7.8,231,289,392,
2020,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,104052,85196,18856,0.77,23944.34,10261.86,34206.2,7.9,231,289,392,
2021,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,106557,86826,19731,0.77,24402.45,10458.19,34860.6,8.2,231,289,392,
2014,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,3984,3243,741,0.61,720.55,308.81,1029.4,6.9,231,289,392,
2015,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,3914,3186,728,0.2,232.56,99.67,332.2,7,231,289,392,
2016,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,3889,3166,723,0.2,231.12,99.05,330.2,7,231,289,392,
