,PERIODO,UBIGEO,REG_NAT,DEPARTAMENTO,PROVINCIA,DISTRITO,garbage_3,garbage_value
0,2015,80309,SIERRA,CUSCO,ANTA,ZURITE,QRESIDUOS_DOM,227.34
1,2016,80309,SIERRA,CUSCO,ANTA,ZURITE,QRESIDUOS_DOM,229.02
2,2017,80309,SIERRA,CUSCO,ANTA,ZURITE,QRESIDUOS_DOM,230.58
3,2018,80309,SIERRA,CUSCO,ANTA,ZURITE,QRESIDUOS_DOM,327.53
4,2019,80309,SIERRA,CUSCO,ANTA,ZURITE,QRESIDUOS_DOM,321.59
5,2020,80309,SIERRA,CUSCO,ANTA,ZURITE,QRESIDUOS_DOM,316.1
6,2021,80309,SIERRA,CUSCO,ANTA,ZURITE,QRESIDUOS_DOM,326.66
7,2015,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,QRESIDUOS_DOM,129.98
8,2016,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,QRESIDUOS_DOM,132.33
9,2017,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,QRESIDUOS_DOM,134.71
10,2018,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,QRESIDUOS_DOM,163.33
11,2019,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,QRESIDUOS_DOM,161.03
12,2020,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,QRESIDUOS_DOM,157.84
13,2021,150516,COSTA,LIMA,CAÑETE,ZUÑIGA,QRESIDUOS_DOM,151.67
14,2014,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,QRESIDUOS_DOM,1186.72
15,2015,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,QRESIDUOS_DOM,1411.04
16,2016,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,QRESIDUOS_DOM,1430.75
17,2017,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,QRESIDUOS_DOM,1449.12
18,2018,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,QRESIDUOS_DOM,1543.72
19,2019,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,QRESIDUOS_DOM,943.96
20,2020,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,QRESIDUOS_DOM,966.3
21,2021,240201,COSTA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,QRESIDUOS_DOM,2516.5
22,2014,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,QRESIDUOS_DOM,378.98
23,2015,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,QRESIDUOS_DOM,399.28
24,2016,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,QRESIDUOS_DOM,399.63
25,2017,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,QRESIDUOS_DOM,399.98
26,2018,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,QRESIDUOS_DOM,382.12
27,2019,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,QRESIDUOS_DOM,365.99
28,2020,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,QRESIDUOS_DOM,348.12
29,2021,210407,SIERRA,PUNO,CHUCUITO,ZEPITA,QRESIDUOS_DOM,310.12
30,2014,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,QRESIDUOS_DOM,4773.85
31,2015,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,QRESIDUOS_DOM,4841.28
32,2016,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,QRESIDUOS_DOM,4421.54
33,2017,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,QRESIDUOS_DOM,4482.05
34,2018,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,QRESIDUOS_DOM,4794.54
35,2019,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,QRESIDUOS_DOM,5660.85
36,2020,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,QRESIDUOS_DOM,5806.29
37,2021,240301,COSTA,TUMBES,ZARUMILLA,ZARUMILLA,QRESIDUOS_DOM,5956.14
38,2014,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,QRESIDUOS_DOM,164.86
39,2015,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,QRESIDUOS_DOM,154.64
40,2016,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,QRESIDUOS_DOM,154.64
41,2017,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,QRESIDUOS_DOM,154.43
42,2018,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,QRESIDUOS_DOM,456
43,2019,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,QRESIDUOS_DOM,453.76
44,2020,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,QRESIDUOS_DOM,453.73
45,2021,220511,SELVA,SAN MARTIN,LAMAS,ZAPATERO,QRESIDUOS_DOM,426
46,2015,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,QRESIDUOS_DOM,158.12
47,2016,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,QRESIDUOS_DOM,169.41
48,2017,100905,SELVA,HUANUCO,PUERTO INCA,YUYAPICHIS,QRESIDUOS_DOM,169.2
