,PERIODO,TIPO DE GENERACION DE RESIDUOS,GPC PER CÁPITA
0,2014,GPC_DOM,0.56
1,2015,GPC_DOM,0.56
2,2016,GPC_DOM,0.56
3,2017,GPC_DOM,0.56
4,2018,GPC_DOM,0.55
5,2019,GPC_DOM,0.57
6,2020,GPC_DOM,0.57
7,2021,GPC_DOM,0.58
8,2014,GPC_MUN,0.802
9,2015,GPC_MUN,0.796
10,2016,GPC_MUN,0.807
11,2017,GPC_MUN,0.794
12,2018,GPC_MUN,0.787
13,2019,GPC_MUN,0.81
14,2020,GPC_MUN,0.81
15,2021,GPC_MUN,0.83
16,2014,GPC_NOMUN,0.24
17,2015,GPC_NOMUN,0.232
18,2016,GPC_NOMUN,0.238
19,2017,GPC_NOMUN,0.238
20,2018,GPC_NOMUN,0.236
21,2019,GPC_NOMUN,0.24
22,2020,GPC_NOMUN,0.24
23,2021,GPC_NOMUN,0.24
