PERIODO,PROVINCIA,N_SEC,UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN
2014,ABANCAY,2295,270945,106076,67669,38407,3.92,11087.0,4751.56,15838.56
2014,ACOBAMBA,6588,721636,76826,23004,53822,4.04,4728.11,2026.34,6754.44
2014,ACOMAYO,4914,561428,27908,14681,13227,3.15,2407.54,1031.81,3439.34
2014,AIJA,495,101015,7852,2478,5374,2.25,406.35,174.14000000000001,580.48
2014,ALTO AMAZONAS,8679,961235,119257,70793,48464,4.45,23441.93,10046.539999999999,33488.47
2014,AMBO,7308,801636,57498,19199,38299,3.67,3548.42,1520.75,5069.17
2014,ANDAHUAYLAS,5390,604210,166639,77442,89197,8.77,13898.83,5956.64,19855.46
2014,ANGARAES,10002,1083678,62454,17176,45278,5.4,2818.5,1207.92,4026.43
2014,ANTA,6390,722745,56638,20109,36529,4.05,3505.04,1502.16,5007.21
2014,ANTABAMBA,1981,212128,13400,9377,4023,3.0300000000000002,1448.87,620.94,2069.82
2014,ANTONIO RAYMONDI,627,121821,16563,4256,12307,2.7,697.78,299.05,996.8100000000001
2014,AREQUIPA,10034,1163335,958351,933418,24933,13.47,162304.31,69558.98,231863.31
2014,ASCOPE,9244,1041636,120534,105995,14539,4.24,21859.07,9368.16,31227.24
2014,ASUNCIÓN,217,40803,8869,2368,6501,0.9,388.42,166.47,554.9
2014,ATALAYA,7382,1000810,52734,18878,33856,2.23,3457.07,1481.6,4938.67
2014,AYABACA,15605,2002055,141108,15933,125175,4.470000000000001,2399.94,1028.54,3428.48
2014,AYMARAES,5015,516953,32914,14036,18878,7.65,2301.9300000000003,986.55,3288.5
2014,AZANGARO,24495,3153120,137579,38222,99357,6.79,6463.63,2770.12,9233.76
2014,BAGUA,147,61221,77135,36060,41075,3.35,6691.85,2867.94,9559.789999999999
2014,BARRANCA,6535,751015,145238,123779,21459,2.86,25006.73,10717.16,35723.880000000005
2014,BELLAVISTA,10371,1321221,57917,29283,28634,3.79,6629.1,2841.05,9470.14
2014,BOLIVAR,6975,781821,16690,5704,10986,2.7,935.35,400.88,1336.22
2014,BOLOGNESI,1755,307620,32739,20996,11743,6.76,3453.78,1480.19,4933.9400000000005
2014,BONGARA,402,123678,33396,19594,13802,7.24,3925.63,1682.41,5608.04
2014,CAJABAMBA,2282,240810,80240,19668,60572,1.87,3832.67,1642.5700000000002,5475.23
2014,CAJAMARCA,6750,721278,381725,219702,162023,5.51,42153.57,18065.829999999998,60219.38
2014,CAJATAMBO,6560,751515,7931,4521,3410,2.25,741.28,317.69,1058.98
2014,CALCA,5748,643236,73675,26294,47381,3.8200000000000003,4819.23,2065.38,6884.610000000001
2014,CALLAO,4809,490728,999976,999976,0,3.75,239611.55,102690.67,342302.22
2014,CAMANA,2916,321636,58365,47908,10457,3.58,8265.41,3542.31,11807.72
2014,CANAS,5812,644036,39530,6314,33216,3.67,1097.09,470.19,1567.27
2014,CANCHIS,5876,644836,102406,62229,40177,4.42,22784.12,9764.630000000001,32548.739999999998
2014,CANDARAVE,10857,1381221,8210,5351,2859,2.7,877.52,376.09,1253.6
2014,CANGALLO,2757,301221,33965,11890,22075,2.69,2013.1200000000001,862.76,2875.88
2014,CANTA,9226,1052828,14971,6380,8591,3.15,1046.35,448.45,1494.79
2014,CARABAYA,16455,2103055,92801,37096,55705,5.04,7000.83,3000.35,10001.18
2014,CARAVELI,4875,523991,40373,24718,15655,5.680000000000001,3873.4900000000002,1660.07,5533.57
2014,CARHUAZ,1430,226666,46886,15953,30933,4.95,2616.22,1121.24,3737.48
2014,CARLOS FERMIN FITZCARRALD,411,62106,21866,3490,18376,1.35,572.37,245.3,817.6899999999999
2014,CASMA,562,83210,47003,32899,14104,2.24,9742.259999999998,4175.25,13917.52
2014,CASTILLA,5439,565705,38782,22468,16314,6.05,3134.34,1343.28,4477.62
2014,CASTROVIRREYNA,10998,1175291,19286,6002,13285,5.83,975.42,418.05,1393.5
2014,CAYLLOMA,8110,810210,91603,60691,30912,9.15,12013.44,5148.63,17162.09
2014,CAÑETE,21272,2408136,229693,192510,37183,7.33,30957.74,13267.61,44225.340000000004
2014,CELENDIN,6942,723678,95624,24590,71034,5.48,4589.5,1966.95,6556.4400000000005
2014,CHACHAPOYAS,231,212331,55091,39250,15841,11.67,7258.94,3110.9500000000003,10369.92
2014,CHANCHAMAYO,6381,721821,200426,112165,88261,3.16,20397.33,8741.710000000001,29139.03
2014,CHEPEN,3501,391206,86031,69743,16288,1.28,10963.86,4698.8,15662.66
2014,CHICLAYO,24670,2802210,850484,797152,53332,10.58,146280.41,62691.59,208972.02000000002
2014,CHINCHA,10934,1212266,215170,191778,23392,5.54,40090.73,17181.73,57272.46
2014,CHINCHEROS,2508,244836,58390,18869,39521,3.58,3076.96,1318.69,4395.63
2014,CHOTA,11286,1147790,165773,33644,132129,8.58,5482.08,2349.4900000000002,7831.53
2014,CHUCUITO,11578,1472828,147694,45025,102669,3.12,7702.039999999999,3300.88,11002.91
2014,CHUMBIVILCAS,5940,645636,82257,18976,63281,3.95,4490.19,1924.37,6414.55
2014,CHUPACA,10224,1088145,53263,32408,20855,3.95,5681.44,2434.91,8116.349999999999
2014,CHURCAMPA,9438,995566,44794,10367,34427,4.95,1700.69,728.89,2429.59
2014,CONCEPCION,15795,1803120,57324,30306,27018,6.4,5279.51,2262.66,7542.18
2014,CONDESUYOS,3356,324836,18141,7035,11106,3.62,1169.21,501.1,1670.31
2014,CONDORCANQUI,123,31206,53911,8072,45839,1.81,1765.01,756.43,2521.44
2014,CONTRALMIRANTE VILLAR,5493,720606,19667,15709,3958,1.07,1729.78,741.34,2471.12
2014,CONTUMAZA,4860,484036,32155,13556,18599,3.8400000000000003,2519.2,1079.66,3598.8500000000004
2014,CORONEL PORTILLO,12880,1750728,374033,316249,57784,4.49,75735.92,32458.26,108194.18
2014,CORONGO,1022,146328,8225,4008,4217,3.15,657.16,281.65,938.8
2014,COTABAMBAS,1839,183021,52414,13907,38507,2.7,2280.54,977.3900000000001,3257.92
2014,CUSCO,5556,640836,442629,420798,21831,4.41,100399.99,43028.57,143428.54
2014,CUTERVO,9285,909120,141705,27874,113831,6.88,5417.78,2321.9,7739.72
2014,DANIEL ALCIDES CARRION,12268,1521636,53028,30391,22637,3.42,4505.33,1930.8500000000001,6436.1900000000005
2014,DATEM DEL MARAÑON,8871,964221,62578,16567,46011,3.66,3681.44,1577.76,5259.18
2014,DOS DE MAYO,8298,902831,52905,18382,34523,4.36,3420.04,1465.73,4885.76
2014,EL COLLAO,8300,1052515,85011,26962,58049,2.23,4255.0,1823.57,6078.6
2014,EL DORADO,8670,1101515,39622,13431,26191,3.05,2984.54,1279.08,4263.62
2014,ESPINAR,6004,646436,68913,31427,37486,3.65,5701.81,2443.62,8145.42
2014,FERREÑAFE,7479,841221,106024,56509,49515,3.15,12454.220000000001,5337.52,17791.73
2014,GENERAL SANCHEZ CERRO,16588,1982266,27979,12329,15650,4.78,1943.74,833.03,2776.74
2014,GRAN CHIMU,4874,524410,31215,6625,24590,1.62,911.51,390.64,1302.15
2014,GRAU,4543,429905,26819,10810,16009,6.1000000000000005,1583.02,678.46,2261.46
2014,HUACAYBAMBA,3714,401610,22704,4104,18600,1.65,560.1600000000001,240.06,800.23
2014,HUALGAYOC,1884,182106,101597,23371,78226,1.42,4400.74,1886.03,6286.77
2014,HUALLAGA,10437,1322421,25351,13638,11713,3.66,3030.39,1298.72,4329.12
2014,HUAMALIES,10296,1105566,74897,20304,54593,5.54,4198.7300000000005,1799.45,5998.19
2014,HUAMANGA,7176,801736,272195,205737,66458,6.890000000000001,34514.020000000004,14791.72,49305.74
2014,HUANCA SANCOS,1858,201210,10386,7038,3348,1.71,1053.99,451.7,1505.7
2014,HUANCABAMBA,12556,1602436,126960,15472,111488,4.0,3027.05,1297.31,4324.360000000001
2014,HUANCANE,13332,1684836,65782,13337,52445,3.42,1761.3700000000001,754.88,2516.2599999999998
2014,HUANCAVELICA,15390,1712090,157031,65604,91427,8.4,11115.13,4763.63,15878.79
2014,HUANCAYO,28882,3363355,501384,447279,54105,12.91,78483.3,33635.7,112119.03
2014,HUANTA,4715,504055,106566,50911,55655,3.71,9184.220000000001,3936.09,13120.310000000001
2014,HUANUCO,10842,1201278,306597,188655,117942,5.2700000000000005,30664.71,13142.01,43806.71
2014,HUARAL,16122,1807278,187779,155801,31978,5.46,26782.519999999997,11478.22,38260.71
2014,HUARAZ,1086,241278,164768,123701,41067,5.41,23484.28,10064.699999999999,33548.99
2014,HUARI,2520,336136,63293,22547,40746,7.19,3680.04,1577.15,5257.18
2014,HUARMEY,840,105515,30491,23325,7166,2.6,6189.009999999999,2652.44,8841.44
2014,HUAROCHIRI,43696,4822928,80854,55072,25782,14.58,9343.4,4004.31,13347.71
