PERIODO,PROVINCIA,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,ORDEN
2014,ABANCAY,106076,67669,38407,3.92,11087,4751.56,15838.56,1
2014,ACOBAMBA,76826,23004,53822,4.04,4728.11,2026.34,6754.44,2
2014,ACOMAYO,27908,14681,13227,3.15,2407.54,1031.81,3439.34,3
2014,AIJA,7852,2478,5374,2.25,406.35,174.14,580.48,4
2014,ALTO AMAZONAS,119257,70793,48464,4.45,23441.93,10046.54,33488.47,5
2014,AMBO,57498,19199,38299,3.67,3548.42,1520.75,5069.17,6
2014,ANDAHUAYLAS,166639,77442,89197,8.77,13898.83,5956.64,19855.46,7
2014,ANGARAES,62454,17176,45278,5.4,2818.5,1207.92,4026.43,8
2014,ANTA,56638,20109,36529,4.05,3505.04,1502.16,5007.21,9
2014,ANTABAMBA,13400,9377,4023,3.03,1448.87,620.94,2069.82,10
2014,ANTONIO RAYMONDI,16563,4256,12307,2.7,697.78,299.05,996.81,11
2014,AREQUIPA,958351,933418,24933,13.47,162304.31,69558.98,231863.31,12
2014,ASCOPE,120534,105995,14539,4.24,21859.07,9368.16,31227.24,13
2014,ASUNCIÃ“N,8869,2368,6501,0.9,388.42,166.47,554.9,14
2014,ATALAYA,52734,18878,33856,2.23,3457.07,1481.6,4938.67,15
2014,AYABACA,141108,15933,125175,4.47,2399.94,1028.54,3428.48,16
2014,AYMARAES,32914,14036,18878,7.65,2301.93,986.55,3288.5,17
2014,AZANGARO,137579,38222,99357,6.79,6463.63,2770.12,9233.76,18
2014,BAGUA,77135,36060,41075,3.35,6691.85,2867.94,9559.79,19
2014,BARRANCA,145238,123779,21459,2.86,25006.73,10717.16,35723.88,20
2014,BELLAVISTA,57917,29283,28634,3.79,6629.1,2841.05,9470.14,21
2014,BOLIVAR,16690,5704,10986,2.7,935.35,400.88,1336.22,22
2014,BOLOGNESI,32739,20996,11743,6.76,3453.78,1480.19,4933.94,23
2014,BONGARA,33396,19594,13802,7.24,3925.63,1682.41,5608.04,24
2014,CAJABAMBA,80240,19668,60572,1.87,3832.67,1642.57,5475.23,25
2014,CAJAMARCA,381725,219702,162023,5.51,42153.57,18065.83,60219.38,26
2014,CAJATAMBO,7931,4521,3410,2.25,741.28,317.69,1058.98,27
2014,CALCA,73675,26294,47381,3.82,4819.23,2065.38,6884.61,28
2014,CALLAO,999976,999976,0,3.75,239611.55,102690.67,342302.22,29
2014,CAMANA,58365,47908,10457,3.58,8265.41,3542.31,11807.72,30
2014,CANAS,39530,6314,33216,3.67,1097.09,470.19,1567.27,31
2014,CANCHIS,102406,62229,40177,4.42,22784.12,9764.63,32548.74,32
2014,CANDARAVE,8210,5351,2859,2.7,877.52,376.09,1253.6,33
2014,CANGALLO,33965,11890,22075,2.69,2013.12,862.76,2875.88,34
2014,CANTA,14971,6380,8591,3.15,1046.35,448.45,1494.79,35
2014,CARABAYA,92801,37096,55705,5.04,7000.83,3000.35,10001.18,36
2014,CARAVELI,40373,24718,15655,5.68,3873.49,1660.07,5533.57,37
2014,CARHUAZ,46886,15953,30933,4.95,2616.22,1121.24,3737.48,38
2014,CARLOS FERMIN FITZCARRALD,21866,3490,18376,1.35,572.37,245.3,817.69,39
2014,CASMA,47003,32899,14104,2.24,9742.26,4175.25,13917.52,40
2014,CASTILLA,38782,22468,16314,6.05,3134.34,1343.28,4477.62,41
2014,CASTROVIRREYNA,19286,6002,13285,5.83,975.42,418.05,1393.5,42
2014,CAYLLOMA,91603,60691,30912,9.15,12013.44,5148.63,17162.09,43
2014,CAÃ‘ETE,229693,192510,37183,7.33,30957.74,13267.61,44225.34,44
2014,CELENDIN,95624,24590,71034,5.48,4589.5,1966.95,6556.44,45
2014,CHACHAPOYAS,55091,39250,15841,11.67,7258.94,3110.95,10369.92,46
2014,CHANCHAMAYO,200426,112165,88261,3.16,20397.33,8741.71,29139.03,47
2014,CHEPEN,86031,69743,16288,1.28,10963.86,4698.8,15662.66,48
2014,CHICLAYO,850484,797152,53332,10.58,146280.41,62691.59,208972.02,49
2014,CHINCHA,215170,191778,23392,5.54,40090.73,17181.73,57272.46,50
2014,CHINCHEROS,58390,18869,39521,3.58,3076.96,1318.69,4395.63,51
2014,CHOTA,165773,33644,132129,8.58,5482.08,2349.49,7831.53,52
2014,CHUCUITO,147694,45025,102669,3.12,7702.04,3300.88,11002.91,53
2014,CHUMBIVILCAS,82257,18976,63281,3.95,4490.19,1924.37,6414.55,54
