PERIODO,REG_NAT,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN
2014,COSTA,3357570.3,1438958.7,4796528.94
2014,SELVA,481693.74,206440.13999999998,688133.8
2014,SIERRA,994158.35,426067.98,1420226.51
2015,COSTA,3459501.97,1482643.8,4942145.71
2015,SELVA,472343.68,202433.0,674776.73
2015,SIERRA,977112.6900000001,418762.64,1395875.43
2016,COSTA,3453504.73,1480073.43,4933578.24
2016,SELVA,482965.55,206985.29,689950.84
2016,SIERRA,967433.06,414614.16,1382047.27
2017,COSTA,3489035.85,1495301.05,4984336.78
2017,SELVA,473763.43,203041.38,676804.78
2017,SIERRA,997151.73,427350.85,1424502.62
2018,COSTA,3617642.21,1550418.14,5168060.27
2018,SELVA,524316.99,224707.33,749024.42
2018,SIERRA,1079748.63,462749.37,1542498.13
2019,COSTA,3818886.64,1636665.67,5455552.36
2019,SELVA,556123.84,238338.85,794462.67
2019,SIERRA,1072322.66,459566.85,1531889.4
2020,COSTA,3895268.04,1669400.51,5564668.5
2020,SELVA,560633.5,240271.46,800904.89
2020,SIERRA,1077681.42,461863.48,1539544.72
2021,COSTA,4050572.73,1735959.82,5786532.51
2021,SELVA,570124.85,244339.26,814464.12
2021,SIERRA,1128704.52,483730.48,1612434.84
