N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
1;10101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;28423;27548;875;0.48;4857.5;2081.78;6939.28;2014
2;10102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;291;151;140;0.61;33.56;14.38;47.95;2014
3;10103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1615;299;1316;0.45;48.96;20.98;69.95;2014
4;10104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;597;388;209;0.45;63.59;27.25;90.84;2014
5;10105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;737;197;540;0.45;32.38;13.88;46.26;2014
6;10106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;2096;630;1466;0.45;103.25;44.25;147.5;2014
7;10107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;395;133;262;0.61;29.46;12.63;42.09;2014
8;10108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1240;1231;9;0.45;201.84;86.5;288.34;2014
9;10109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;5551;2442;3109;0.61;542.65;232.56;775.22;2014
10;10110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;4200;1991;2209;0.61;442.34;189.58;631.92;2014
11;10111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;893;458;435;0.45;75.16;32.21;107.37;2014
12;10112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;815;643;172;0.61;142.82;61.21;204.03;2014
13;10113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;1034;498;536;0.61;110.62;47.41;158.03;2014
14;10114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2737;720;2017;0.56;147.94;63.4;211.35;2014
15;10115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;608;545;63;0.61;121.03;51.87;172.89;2014
16;10116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;365;107;258;0.61;23.76;10.18;33.94;2014
